"set","genre_name","indicator","model20_paid_n"
"main","Indie","genre_indie",614
"main","Adventure","genre_adventure",405
"main","Casual","genre_casual",324
"main","Action","genre_action",319
"main","Simulation","genre_simulation",255
"main","RPG","genre_rpg",207
"main","Strategy","genre_strategy",178
"sensitivity","Indie","genre_indie",614
"sensitivity","Adventure","genre_adventure",405
"sensitivity","Casual","genre_casual",324
"sensitivity","Action","genre_action",319
"sensitivity","Simulation","genre_simulation",255
"sensitivity","RPG","genre_rpg",207
"sensitivity","Strategy","genre_strategy",178
"sensitivity","Early Access","genre_early_access",93
"sensitivity","Sports","genre_sports",31
"sensitivity","Racing","genre_racing",20
